,Precio Bolsa Nacional ($/kWh) 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
47,2003-02-15,67.770438,67.770438,67.655438,67.655438,67.770438,67.770438,67.770438,69.405438,69.405438,69.405438,69.405438,69.405438,69.405438,69.405438,69.405438,67.770438,67.770438,67.770438,69.405438,70.745438,69.405438,69.405438,67.770438,67.770438
48,2003-02-16,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.755438,67.755438,67.755438,67.755438,67.755438,67.705438,67.705438,67.755438,69.275438,69.455438,69.275438,69.275438,69.275438,67.755438
49,2003-02-17,67.705438,67.705438,67.705438,67.705438,67.705438,69.355438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,74.255438,75.255438,74.255438,69.455438,69.355438,67.705438
50,2003-02-18,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,67.705438,74.255438,75.255438,69.255438,67.705438,67.705438,66.655438
51,2003-02-19,66.255438,66.255438,66.255438,66.255438,66.255438,66.555438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,66.655438,74.255438,77.255438,74.255438,66.655438,66.555438,66.255438
52,2003-02-20,66.255438,66.255438,66.255438,66.255438,66.655438,66.755438,66.755438,66.755438,66.755438,66.755438,66.755438,69.255438,69.255438,66.755438,66.755438,66.755438,66.755438,66.755438,74.255438,77.255438,75.255438,74.255438,66.755438,66.655438
53,2003-02-21,66.655438,66.655438,66.655438,66.655438,66.655438,69.355438,73.255438,73.255438,74.255438,74.255438,74.255438,74.255438,74.255438,73.255438,73.255438,73.255438,73.255438,73.755438,74.255438,75.256438,74.255438,73.755438,73.255438,66.655438
54,2003-02-22,67.255438,66.705438,66.705438,66.705438,66.705438,69.455438,69.455438,69.455438,69.455438,69.455438,73.245438,73.255438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,74.255438,75.355438,74.755438,74.255438,69.455438,69.455438
55,2003-02-23,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,69.455438,74.255438,74.256438,74.256438,74.255438,69.455438,69.455438
56,2003-02-24,69.455438,69.455438,69.455438,69.455438,69.455438,73.255438,74.255438,74.255438,74.255438,74.255438,74.355438,74.355438,74.355438,74.255438,74.255438,74.255438,74.255438,74.255438,74.355438,75.255438,74.355438,74.355438,74.255438,69.455438
57,2003-02-25,69.155438,69.155438,69.155438,69.155438,69.155438,71.255438,73.155438,73.155438,73.155438,73.155438,73.245438,73.355438,73.155438,73.155438,73.155438,73.155438,73.155438,73.155438,73.355438,73.355438,73.355438,73.355438,69.255438,69.155438
58,2003-02-26,68.755438,67.255438,67.255438,67.255438,68.755438,69.155438,69.155438,69.155438,69.355438,69.355438,69.355438,69.355438,69.355438,69.355438,69.355438,69.355438,69.355438,69.155438,69.355438,73.455438,69.355438,69.355438,69.155438,68.755438
59,2003-02-27,68.755438,68.755438,68.255438,68.755438,68.755438,69.355438,69.355438,69.355438,69.355438,71.255438,72.255438,72.255438,72.255438,71.255438,72.255438,71.255438,71.255438,71.255438,74.455438,75.255438,74.455438,72.255438,69.355438,69.355438
60,2003-02-28,68.255438,68.255438,68.155438,67.255438,68.255438,68.755438,69.255438,69.255438,71.255438,71.255438,72.255438,72.255438,72.255438,71.255438,71.255438,71.255438,71.255438,71.255438,74.355438,74.355438,74.355438,72.255438,69.255438,68.755438
61,2003-03-01,68.14936,68.14936,68.14936,68.14936,68.14936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,73.24936,73.24936,73.24936,73.24936,70.64936,70.64936
62,2003-03-02,70.64936,70.64936,69.63936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,70.64936,72.14936,73.24936,73.14936,73.14936,70.64936,70.64936
63,2003-03-03,66.64936,66.64936,66.14936,66.14936,66.64936,66.64936,68.94936,68.94936,68.94936,69.14936,69.14936,69.14936,69.14936,69.14936,69.14936,69.14936,68.94936,68.94936,69.14936,69.63936,69.14936,69.14936,67.14936,66.64936
64,2003-03-04,66.64936,66.64936,66.64936,66.64936,66.64936,69.14936,69.14936,69.14936,69.14936,69.14936,69.63936,70.64936,69.14936,69.14936,69.14936,69.14936,69.14936,69.14936,70.64936,72.14936,70.64936,70.64936,69.14936,66.64936
65,2003-03-05,66.59936,66.59936,66.59936,66.59936,66.59936,66.64936,66.64936,66.64936,66.64936,66.64936,69.14936,69.14936,66.64936,66.64936,66.64936,66.64936,66.64936,66.64936,69.14936,70.13936,69.14936,69.14936,66.64936,66.59936
